2,10,-1,2.05,2.05,0
5,13,-1,2.57,2.57,0
5,20,-1,3.06,3.06,0
1,20,-1,3.57,3.57,0
3,17,-1,4.07,4.07,0
-15,14,-1,4.58,4.58,0
-27,12,-1,5.08,5.08,0
-34,12,-1,5.59,5.59,0
-37,10,-1,6.09,6.09,0
-21,9,-1,6.60,6.60,1
-3,9,-1,7.09,7.09,1
0,10,-1,7.61,7.61,1
0,10,-1,8.10,8.10,1
0,10,-1,8.61,8.61,1
-8,9,-1,9.62,9.62,1
-28,5,-1,10.12,10.12,2
-46,5,-1,10.63,10.63,2
-48,5,-1,11.13,11.13,2
-29,6,-1,11.64,11.64,2
-9,8,-1,12.14,12.14,2
-6,9,-1,12.63,12.63,2
-7,9,-1,13.14,13.14,2
-6,8,-1,13.64,13.64,3
5,4,-1,14.15,14.15,3
22,6,-1,14.65,14.65,3
39,5,-1,15.16,15.16,3
46,4,-1,15.66,15.66,3
31,6,-1,0.13,16.17,3
7,7,-1,0.63,16.66,3
0,8,-1,1.14,17.18,3
-3,8,-1,1.64,17.67,3
-5,8,-1,2.15,18.18,3
0,7,-1,2.64,18.68,3
11,7,-1,3.16,19.19,3
27,9,-1,0.11,19.69,3
43,9,-1,0.62,20.20,3
50,8,-1,1.11,20.70,3
52,7,-1,1.63,21.21,3
42,5,-1,2.12,21.71,3
11,4,-1,2.62,22.20,3
-4,6,-1,3.13,22.72,3
-10,7,-1,0.16,23.23,3
-9,7,-1,0.66,23.72,3
