-9.21,17.52,-0.27,-0.16,10.83,20.19,2
-9.49,13.44,-0.20,-0.16,11.04,20.40,2
-9.98,7.96,-0.15,-0.16,11.23,20.59,2
-9.47,4.09,-0.07,-0.15,11.44,20.80,2
-8.26,-2.87,0.07,-0.13,11.64,20.99,3
-8.31,-6.71,0.11,-0.13,11.84,21.20,3
-9.29,-7.04,0.13,-0.16,12.05,21.40,3
-9.83,-7.88,0.14,-0.16,12.24,21.60,3
-9.98,-7.81,0.13,-0.16,12.45,21.80,3
-9.77,-7.40,0.12,-0.16,12.66,22.01,3
-9.55,-6.79,0.12,-0.15,12.85,22.20,3
-9.55,-5.83,0.10,-0.15,13.06,22.41,3
-9.66,-4.12,0.08,-0.16,13.27,22.62,3
-9.68,-3.40,0.06,-0.15,13.46,22.81,3
-9.66,-2.86,0.05,-0.16,13.67,23.02,3
-9.72,-2.57,0.04,-0.16,13.86,23.21,3
-9.67,-2.34,0.04,-0.16,14.07,23.42,3
-9.62,-2.13,0.04,-0.16,0.16,23.63,3
-9.65,-1.90,0.04,-0.15,0.35,23.82,3
-9.83,-1.63,0.03,-0.16,0.56,24.03,3
