-3,-9,0,1.05,1.05,0
-4,-7,-1,2.05,2.05,0
-4,-7,-1,2.57,2.57,0
-4,-7,-1,3.06,3.06,0
-4,-7,-1,3.57,3.57,0
-4,-7,-1,4.07,4.07,0
-4,-7,-1,4.58,4.58,0
-4,-8,-1,5.08,5.08,0
-4,-8,-1,5.59,5.59,0
-4,-10,-1,6.09,6.09,0
-4,-10,-1,6.60,6.60,0
-4,-10,-1,7.09,7.09,0
-4,-10,-1,7.61,7.61,0
-4,-7,-1,8.10,8.10,0
-4,-6,-1,8.61,8.61,0
-4,-6,-1,9.11,9.11,0
-4,-4,-1,9.62,9.62,0
-4,-3,-1,10.12,10.12,0
-4,-4,-1,10.63,10.63,0
-3,-14,-1,11.13,11.13,0
-2,-25,-1,11.64,11.64,0
-2,-29,-1,12.14,12.14,0
-2,-27,-1,12.65,12.65,0
-2,-12,-1,13.14,13.14,0
-4,-6,-1,13.64,13.64,0
-5,-5,-1,14.15,14.15,0
-4,-11,-1,14.66,14.66,0
-4,-20,-1,15.16,15.16,0
-3,-27,-1,15.66,15.66,0
-2,-28,-1,16.17,16.17,0
-2,-27,-1,16.66,16.66,0
-3,-17,-1,17.18,17.18,0
-5,-8,-1,17.67,17.67,0
-5,-6,-1,18.18,18.18,0
-5,-6,-1,18.68,18.68,0
-5,-6,-1,19.19,19.19,0
-5,1,-1,19.69,19.69,0
-5,9,-1,20.20,20.20,0
-5,11,-1,20.70,20.70,0
-5,7,-1,21.21,21.21,0
-4,-3,-1,21.70,21.70,0
-4,-12,-1,22.22,22.22,0
-4,-13,-1,22.71,22.71,0
-4,-12,-1,23.23,23.23,0
-4,-11,-1,23.72,23.72,0
-5,-3,-1,24.23,24.23,0
-6,6,-1,24.73,24.73,0
-6,9,-1,25.23,25.23,0
-6,11,-1,25.74,25.74,0
-5,0,-1,26.23,26.23,0
-4,-12,-1,26.75,26.75,0
-4,-15,-1,27.24,27.24,0
-4,-14,-1,27.75,27.75,0
-4,-15,-1,28.25,28.25,0
-5,-21,-1,28.76,28.76,0
-6,-26,-1,29.26,29.26,0
-4,-15,-1,29.77,29.77,0
-5,-9,-1,30.27,30.27,0
-5,-5,-1,30.78,30.78,0
-6,-4,-1,31.27,31.27,0
-6,-6,-1,31.79,31.79,0
-4,-11,-1,32.28,32.28,0
-4,-13,-1,32.79,32.79,0
-13,-4,-1,33.29,33.29,0
0,-3,-1,33.80,33.80,0
-9,-5,-1,34.30,34.30,0
-6,-9,-1,34.81,34.81,0
-5,-6,-1,35.31,35.31,0
-6,-8,-1,35.82,35.82,0
-5,-6,-1,36.32,36.32,0
-6,-5,-1,36.83,36.83,0
-5,-5,-1,37.32,37.32,0
-5,-5,-1,37.84,37.84,0
-5,-6,-1,38.33,38.33,0
-5,-5,-1,38.84,38.84,0
-5,-5,-1,39.34,39.34,0
-4,-2,-1,39.85,39.85,0
-4,-8,-1,40.35,40.35,0
-5,-13,-1,40.86,40.86,0
-6,-6,-1,41.36,41.36,0
-8,-7,-1,41.85,41.85,0
-7,-4,-1,42.36,42.36,0
-8,-3,-1,42.86,42.86,0
-7,-3,-1,43.37,43.37,0
-10,-8,-1,43.87,43.87,0
-9,-13,-1,44.38,44.38,0
-9,-9,-1,44.88,44.88,0
-6,-6,-1,45.39,45.39,0
-6,-8,-1,45.88,45.88,0
-5,-6,-1,46.40,46.40,0
-5,-9,-1,46.89,46.89,0
-5,-4,-1,47.41,47.41,0
-7,1,-1,47.90,47.90,0
-7,5,-1,48.40,48.40,0
-7,7,-1,48.91,48.91,0
-6,-3,-1,49.42,49.42,0
-4,-7,-1,0.45,49.92,0
